SC,CR,aspect,SPI,TWI,tempuratur,rainfall,lithology1,NDVI,d_river,d_fault2,slope,Y
36.7778015,1.07425,323.1300049,6.9916401,8.9417496,15.8999996,1421,15,0.866953,0.154459,0.192292,21.4267998,2
63.2221985,1.08757,105.2549973,6.2404299,7.9397202,15,1428.900024,5,0.553648,0.096686,0.0891692,23.1499004,2
26,1.01956,309.8980103,4.0882101,7.3193498,15.8000002,1419.900024,7,0.828326,0.159505,0.184965,11.2426004,2
47.4445,1.06944,352.9920044,5.42693,7.36693,14.3999996,1428.800049,5,0.845494,0.0441159,0.0419652,20.7607994,2
36.8889008,1.05997,97.1502991,7.6539202,9.7451096,15.5,1427.099976,15,0.669528,0.198956,0.166948,19.3656998,2
0,1.0072,-1,0.587787,11.9164,15.8999996,1424,0,0.660944,0.192495,0.185024,6.8559999,2
21.5555,1.01623,203.1990051,2.89522,6.3151202,14.8999996,1434.5,5,0.7897,0.168709,0.114967,10.2524996,2
57.5555,1.02162,49.0141983,6.8559299,10.0204,15.1000004,1432.599976,15,0.871245,0.200114,0.162426,11.809,2
21.5555,1.01201,191.1289978,6.1447601,9.8679705,15.3000002,1427.099976,3,0.776824,0.192308,0.153715,8.8343897,2
66.8889008,1.09969,248.6929932,8.3230495,9.8869104,13,1461.599976,5,0.888412,0.119142,0.0853786,24.5851994,2
32,1.04445,87.8612976,6.80725,9.2054901,14.6000004,1443.400024,3,0.892704,0.180574,0.126571,16.7759991,2
32.6665993,1.0379,266.9060059,6.7258902,9.2868404,12.5,1431.5,3,0.845494,0.0432978,0.0388878,15.5309,2
73.1110992,1.11017,105.3330002,6.8714299,8.3303804,14.3000002,1445,5,0.83691,0.169365,0.0972061,25.7416,2
58.7778015,1.08731,198.4349976,9.2346201,10.9370003,14.5,1429.599976,5,0.892704,0.10962,0.0785491,23.118,2
96.8889008,1.28705,268.5859985,4.3947501,4.8155899,15.3000002,1431.199951,3,0.815451,0.180594,0.117856,39.0159988,2
122.6669998,1.2835799,234.4830017,5.0810599,5.5155702,14,1388.699951,15,0.901288,0.0436808,0.0392221,38.824501,2
45,1.09354,266.5369873,8.2715197,9.9202099,16.3999996,1363.099976,5,0.665236,0.0571798,0.0621432,23.8712997,2
56.6666985,1.03442,157.7969971,5.5783,8.2372103,14.3999996,1435.400024,5,0.849785,0.125208,0.109178,14.8219995,2
69.3332977,1.15732,154.3150024,4.0648499,5.1454902,13.6000004,1409.099976,5,0.755365,0.0550629,0.0560497,30.2236004,2
29,1.0325201,189.2330017,8.2574396,10.9742002,13.8999996,1436.400024,5,0.828326,0.117575,0.085372,14.4174004,2
23.3334007,1.01592,104.1330032,6.2869701,9.72577,13.8999996,1443.900024,5,0.88412,0.123765,0.118689,10.1581001,2
54.6666985,1.06373,195.1860046,7.6852398,9.7137899,15.1999998,1428,5,0.888412,0.164397,0.0884174,19.9339008,2
126.4440002,1.45122,119.3990021,9.8485098,9.7477398,14.3000002,1442.300049,5,0.927039,0.174661,0.0933281,46.4429016,2
47.6666985,1.09234,40.8487015,10.0176001,11.6616001,14.3000002,1446.400024,5,0.858369,0.187737,0.088423,23.7283001,2
72.4445038,1.06917,237.4129944,4.73173,6.6758299,12.6999998,1418,15,0.879828,0.048757,0.0464537,20.7219009,2
25.3334007,1.01516,163.3789978,7.3608899,10.8491001,14,1431.400024,5,0.781116,0.134543,0.100788,9.9153204,2
134.7779999,1.24944,221.6179962,4.3162498,4.8940902,14.5,1436.300049,5,0.901288,0.159069,0.109181,36.8358002,2
83.6666031,1.24973,276.3190002,7.7180901,8.2946396,12.3999996,1422.5,7,0.849785,0.0494565,0.050334,36.8535004,2
30,1.0118001,221.7109985,2.73469,6.4756498,13.8999996,1449.400024,5,0.819743,0.175993,0.081449,8.7575397,2
97.4445038,1.20715,59.6902008,4.21387,4.99647,13.8999996,1439.099976,5,0.909871,0.18152,0.118665,34.0657005,2
62.7778015,1.08569,285.4330139,4.4373298,6.1593099,13.6999998,1451.699951,5,0.763949,0.162666,0.120938,22.9158993,2
40.4445,1.03237,182.5140076,3.24453,5.9658098,12.1000004,1421.599976,5,0.845494,0.0465451,0.0478927,14.3859997,2
70.4445038,1.12076,39.5881004,3.9240899,5.2862501,13.8999996,1448.400024,5,0.785408,0.163015,0.100684,26.8425999,2
48.2221985,1.05861,286.0870056,6.9489498,9.0637903,13.1000004,1408.699951,15,0.871245,0.0583238,0.0720989,19.1548004,2
32.3334007,1.04785,316.6180115,6.8448801,9.16786,12.5,1414.900024,5,0.824034,0.0414209,0.0481962,17.3810997,2
29.4445,1.01397,16.0039997,3.5130501,7.08359,14.5,1423.400024,3,0.776824,0.147493,0.122424,9.5228004,2
39.3333015,1.01755,340.6019897,2.9348199,6.2755198,14.8999996,1406.099976,15,0.83691,0.117931,0.118542,10.6574001,2
16.6667004,1.0103199,321.3399963,4.2771502,8.1520596,14.6000004,1416.599976,5,0.802575,0.143229,0.135456,8.1982098,2
89.2221985,1.23492,61.0029984,5.8924398,6.5367699,13.8999996,1446.699951,5,0.888412,0.163702,0.0693673,35.9263,2
54.2221985,1.0715899,202.3190002,10.2709999,12.1794996,15.3000002,1402.900024,5,0.824034,0.145983,0.13746,21.0618,2
28.6665993,1.0276901,133.7169952,9.1313696,12.0113001,13.6000004,1412.300049,15,0.858369,0.126415,0.115573,13.3297997,2
75.5554962,1.13571,22.8143005,3.98596,5.22438,13.6999998,1407.300049,15,0.888412,0.130864,0.118696,28.2966003,2
81.6667023,1.12029,51.2733002,4.6081901,5.9814601,14.8999996,1427.5,15,0.871245,0.162336,0.0980779,26.7950001,2
35.3334007,1.02226,68.5746994,3.05476,6.15558,13.6999998,1408.199951,15,0.793991,0.128412,0.113198,11.9783001,2
82.4445038,1.17285,320.6279907,4.11551,5.09483,14,1447,5,0.879828,0.146084,0.0578538,31.5014,2
52.2221985,1.0712,317.6380005,3.6480899,5.5622501,14.1000004,1441.099976,5,0.896996,0.172167,0.0867937,21.0074005,2
97.5554962,1.20779,322.3479919,5.3141599,6.0934,15.1999998,1399.5,7,0.901288,0.17768,0.148547,34.1102982,2
22.8889008,1.0143,337.0230103,2.8315301,6.3788099,14,1423.400024,5,0.905579,0.199606,0.11472,9.6321602,2
58,1.05375,69.5195999,3.50331,5.7070398,13,1420.900024,0,0.858369,0.175392,0.138386,18.3791008,2
75.8889008,1.17155,245.6920013,9.9105597,10.8979998,14.6999998,1406,7,0.896996,0.18766,0.134326,31.3983002,2
79,1.17687,315.3259888,7.52913,8.4835997,14.6999998,1401.800049,15,0.854077,0.194503,0.142943,31.8194008,2
75.7778015,1.14729,159.7120056,7.43081,8.5819302,14.5,1404.900024,7,0.905579,0.205636,0.142988,29.3528996,2
97.6666031,1.21719,1.34182,4.2398,4.97054,14.3000002,1431,5,0.93133,0.15451,0.0755832,34.7583008,2
18.1110992,1.00473,299.196991,5.6771498,10.3355999,13.1999998,1415.199951,15,0.772532,0.194105,0.126475,5.56146,2
22.7777996,1.00965,101.9150009,2.6336901,6.5766501,12.1000004,1423.599976,3,0.746781,0.128495,0.0885314,7.9274702,2
32.8889008,1.02118,151.8869934,3.0297101,6.1806302,11.5,1433.5,3,0.806867,0.097287,0.0765587,11.6901999,2
37.1110992,1.04845,125.9609985,9.4903698,11.8004999,14.8000002,1400.400024,0,0.862661,0.19698,0.143432,17.4864998,2
17.2222004,1.0077,140.7109985,5.9218001,10.0909004,13.6999998,1405.5,15,0.845494,0.207063,0.129692,7.0889602,2
16.4445,1.00915,295.5599976,5.9465399,10.0045996,13.1999998,1415.199951,15,0.802575,0.188991,0.124141,7.7209401,2
127.4440002,1.32889,226.0420074,5.165,5.4316301,14,1434.800049,5,0.905579,0.15586,0.0753507,41.1921005,2
117.7779999,1.29725,242.427002,4.4144402,4.7958999,13.8000002,1434.5,5,0.918455,0.168359,0.076377,39.5688019,2
15.8888998,1.00931,260.3399963,8.4442797,12.5605001,12.8999996,1412.800049,15,0.811159,0.169884,0.100941,7.7899899,2
59.5555,1.11696,271.1520081,3.9072101,5.3031301,14.1999998,1433.800049,5,0.879828,0.152012,0.0776923,26.4549999,2
17.5555,1.16732,226.4499969,7.8298602,9.6121502,15.5,1385.800049,0,0.888412,0.228355,0.119989,31.0562,2
38.4445,1.08006,292.1300049,7.1020598,8.9026499,12.3999996,1415.5,15,0.849785,0.158598,0.073971,22.1994991,2
0,1.1008,-1,5.5552802,15.5417995,15,1400.599976,15,0.793991,0.22533,0.101771,24.7108994,2
116.7779999,1.24305,80.7450027,7.7030501,8.3096905,13,1442.699951,5,0.927039,0.182253,0.0660192,36.4407005,2
44.2221985,1.02069,78.0030975,6.4190102,9.5937204,13,1442,5,0.918455,0.166187,0.0650206,11.5557003,2
97.3332977,1.16145,231.5299988,4.0787702,5.1315699,14.5,1404.300049,0,0.892704,0.225352,0.0957647,30.5716,2
84.4445038,1.25234,234.9920044,4.32267,4.88767,13.1999998,1435.5,5,0.935622,0.189164,0.0665407,37.0125999,2
38.3333015,1.0280401,29.5214005,4.9633698,7.8304901,13.8999996,1400.900024,7,0.793991,0.222506,0.105102,13.4122,2
24.2222004,1.02369,156.8009949,3.0862701,6.1240702,14.8000002,1391.300049,0,0.742489,0.236786,0.100956,12.3501997,2
68.1110992,1.14494,286.8099976,9.3681202,10.5363998,14.8000002,1393.699951,7,0.896996,0.241149,0.0988525,29.1429996,2
38.4445,1.0433199,89.5185013,6.7940602,9.2186699,11.1999998,1417.5,15,0.781116,0.0755971,0.0438099,16.5683002,2
19.2222004,1.00699,97.2750015,8.8175697,13.0839996,12,1430.599976,3,0.871245,0.190453,0.0833274,6.7554102,2
27.6665993,1.02011,203.3849945,9.11273,12.3161001,13.8999996,1396.599976,0,0.854077,0.201857,0.0488351,11.3957005,2
1,1.02968,315,6.8099899,12.3554001,13.8999996,1408.5,15,0.703863,0.194246,0.0812849,13.7910995,2
15.5555,1.0023299,293.1990051,3.8426001,9.2351799,11.8999996,1441.300049,3,0.83691,0.174085,0.0625541,3.90624,2
23.5555,1.01064,268.5310059,2.6830599,6.5272799,12,1439.300049,3,0.905579,0.178297,0.0560257,8.3232203,2
44.3334007,1.0424401,304.9719849,3.38239,5.82795,12.6000004,1411.400024,15,0.862661,0.198595,0.0725921,16.4050007,2
39.6665993,1.03369,236.6889954,3.9579699,6.63866,13.8999996,1401.5,7,0.854077,0.231446,0.066055,14.6683998,2
42.6665993,1.03295,88.6163025,6.6547699,9.3579702,14.1000004,1393.800049,7,0.914163,0.231406,0.0532864,14.5112,2
19.7777996,1.0186,189.2799988,7.7516599,11.0337,11,1445.099976,7,0.905579,0.177157,0.0543002,10.9672003,2
5.4444599,1.01475,209.4069977,5.46703,9.76441,11.8999996,1440.400024,3,0.888412,0.179297,0.0531411,9.7806501,2
7,1.01236,146.6589966,5.8323102,9.8535004,11.8999996,1438.599976,3,0.772532,0.167728,0.0540509,8.9610901,2
15.4445,1.03184,312.3739929,7.0538802,10.0684996,12,1439.5,3,0.806867,0.171499,0.0527016,14.2715998,2
44.2221985,1.05933,165.7149963,9.4401903,11.5424004,13.1999998,1429.599976,5,0.875537,0.133817,0.0585287,19.2674999,2
17.1110992,1.01465,139.3509979,6.1929998,9.7677898,11.5,1409.699951,3,0.845494,0.073471,0.0356147,9.7483101,2
32.2221985,1.01475,299.5390015,5.6198802,9.1356401,14.6999998,1448.800049,3,0.648069,0.159904,0.202569,9.7821598,2
22.5555,1.00911,205.1450043,8.9507198,12.9509001,14.6000004,1446.800049,3,0.828326,0.155241,0.183765,7.7066598,2
69,1.20411,75.5671997,5.7945099,6.6139898,15.1000004,1443.800049,3,0.871245,0.16701,0.203619,33.8510017,2
0,1.02614,-1,-0.105361,10.5740995,16.1000004,1416.300049,7,0.613734,0.191763,0.191357,12.9594002,2
26,1.03203,88.4176025,6.5206299,9.3724499,15.8000002,1429.300049,15,0.819743,0.183637,0.194371,14.3112001,2
2.8889201,1.07291,147.9949951,3.4970801,7.4958901,16.1000004,1423.699951,0,0.896996,0.184014,0.188009,21.2437,2
31.3332996,1.02662,173.0319977,3.12093,6.06496,15.8000002,1426.400024,7,0.871245,0.19204,0.184554,13.0769997,2
24.1110992,1.00658,337.6199951,2.44152,6.7688198,15.6999998,1427.900024,7,0.785408,0.195692,0.175104,6.5548201,2
62.7778015,1.00853,133.4519958,2.5715599,6.6387801,15.6999998,1427.900024,0,0.896996,0.196233,0.173736,7.4555001,2
0,1.0177,-1,2.23001,13.1065998,15,1439.800049,3,0.781116,0.198271,0.122904,10.7004995,2
0,1.00091,-1,3.60848,15.9752998,15,1440.5,3,0.793991,0.197745,0.114061,2.4378099,2
51.6666985,1.03371,54.7167015,3.2651899,5.9451499,13.6999998,1442,3,0.858369,0.187484,0.0595263,14.6735001,2
77.4445038,1.1598099,109.5139999,9.0839195,10.1477003,13.1000004,1452.099976,3,0.918455,0.178967,0.0537329,30.4340992,2
107.7779999,1.2745399,164.7769928,9.5627003,10.0335999,13.6999998,1435.400024,5,0.927039,0.156279,0.06577,38.3167992,2
16.2222004,1.02039,142.3059998,10.3373003,13.9050999,14.6000004,1431.900024,5,0.901288,0.156107,0.0676995,11.4743004,2
0,1.00696,-1,8.3719101,19.7178993,15.1000004,1427.900024,5,0.83691,0.148843,0.0845363,6.7389898,2
